Date,Menu,Meal
12/3/2012,"Spaghetti w/Marinara & Cheese*
Chicken Patty Sandwich on a Bun
Grilled Cheese Sandwich* Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly Sandwich*",lunch
12/4/2012,"Cheese Quesadilla*
Cheeseburger on a Bun
Turkey Sandwich on Whole Wheat
Italian Dunkers w/or w/o Marinara Sauce*
Beef Taco Salad with Tortilla Chips",lunch
12/5/2012,"Baja Fish Wrap
Turkey Hot Dog on a Bun Cheese* or Pepperoni Pizza
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & a Wheat Roll",lunch
12/6/2012,"Teriyaki Beef Dippers & Brown Rice
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & a Wheat Roll",lunch
12/7/2012,"Orange Chicken & Brown Rice
Hamburger on a Bun
Cheese* or Pepperoni Pizza
Turkey & Cheese Sandwich on Whole Wheat Bread
Taco Salad with Beans*",lunch
12/10/2012,"Nachos with Beans & Cheese*
Chicken Patty Sandwich on a Bun
Grilled Cheese Sandwich*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly Sandwich*",lunch
12/11/2012,"Fish Sticks & Brown Rice
Cheeseburger on a Bun
Turkey Sandwich on Whole Wheat
Italian Dunkers w/or w/o Marinara Sauce*
Beef Taco Salad with Tortilla Chips",lunch
12/12/2012,"BIG DADDY PIZZA DAY!
Cheese or Pepperoni",lunch
12/13/2012,"Beefy Macaroni
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & a Wheat Roll",lunch
12/14/2012,"Whole Grain Chicken Corn Dog
Hamburger on a Bun
Cheese* or Pepperoni Pizza
Turkey & Cheese Sandwich on Whole Wheat Bread
Taco Salad with Beans*",lunch
12/17/2012,"French Toast Sticks & Sausage
Chicken Patty Sandwich on a Bun
Grilled Cheese Sandwich*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly Sandwich*",lunch
12/18/2012,"Rib b que on a Bun
Cheeseburger on a Bun
Turkey Sandwich on Whole Wheat
Italian Dunkers w/or w/o Marinara Sauce*",lunch
12/19/2012,"Beef Taco Salad with Tortilla Chips
Beef Soft Tacos
Turkey Hot Dog on a Bun
Cheese* or Pepperoni Pizza
American Combo Sandwich on Whole Wheat
Crispy Chicken Salad & a Wheat Roll",lunch
12/20/2012,"Half Turkey Ham Sandwich & Sunflower Seeds
Chicken Tenders
Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers*
Chicken Caesar Salad & a Wheat Roll",lunch
12/21/2012,"Chicken Alfredo & Pasta
Hamburger on a Bun
Cheese* or Pepperoni Pizza
Turkey & Cheese Sandwich on Whole Wheat Bread
Taco Salad with Beans*",lunch
